col-coord,row-coord,isTower,filename,h_params,s_params,v_params,r_params,g_params,b_params,dissimilarity_params,contrast_params,homogeneity_params,ASM_params,energy_params,correlation_params
2677,281,Yes,DSC00306.JPG,0.05932203389830507,0.44029850746268656,0.5254901960784314,134,96,75,"[[1378 1252]
 [1377 1251]
 [1222 1058]]","[[20384 18066]
 [21911 18915]
 [23126 17288]]","[[17.74506256 19.2530788 ]
 [ 9.74051594 12.14457554]
 [ 7.0656896   9.15805794]]","[[180 184]
 [148 146]
 [106 114]]","[[13.41640786 13.56465997]
 [12.16552506 12.08304597]
 [10.29563014 10.67707825]]","[[0.99999967 0.9999997 ]
 [0.99999941 0.99999943]
 [0.99999884 0.99999895]]"
2941,472,Yes,DSC00306.JPG,0.0582010582010582,0.5206611570247933,0.4745098039215686,121,80,58,"[[1298 1358]
 [1557 1225]
 [1485 1033]]","[[16864 18356]
 [26073 17019]
 [28993 16355]]","[[20.58239675 12.53042684]
 [ 5.03499916  7.73646993]
 [ 1.8266903   8.06489033]]","[[180 182]
 [148 144]
 [106 110]]","[[13.41640786 13.49073756]
 [12.16552506 12.        ]
 [10.29563014 10.48808848]]","[[0.99999979 0.99999976]
 [0.9999995  0.99999965]
 [0.9999991  0.9999995 ]]"
3289,630,Yes,DSC00306.JPG,0.06284153005464481,0.4586466165413534,0.5215686274509804,133,95,72,"[[1918 1940]
 [1992 1892]
 [2007 1441]]","[[45700 39090]
 [54824 43558]
 [68595 30809]]","[[15.83747624 12.0121154 ]
 [ 8.56299386  9.35931184]
 [ 6.37209415  5.22753894]]","[[170 170]
 [130 138]
 [106 102]]","[[13.03840481 13.03840481]
 [11.40175425 11.74734012]
 [10.29563014 10.09950494]]","[[0.99999955 0.99999957]
 [0.99999922 0.99999913]
 [0.99999828 0.99999875]]"
3522,704,Yes,DSC00306.JPG,0.06122448979591838,0.36567164179104483,0.5254901960784314,134,103,85,"[[1592 2127]
 [1691 1843]
 [1408 1352]]","[[25714 44513]
 [32483 36859]
 [28540 28180]]","[[15.39100977  8.45581726]
 [ 7.10639932  7.92490249]
 [ 4.22457408  4.95363517]]","[[164 174]
 [140 138]
 [106 102]]","[[12.80624847 13.19090596]
 [11.83215957 11.74734012]
 [10.29563014 10.09950494]]","[[0.99999961 0.99999932]
 [0.99999909 0.99999899]
 [0.99999833 0.9999984 ]]"
3796,905,Yes,DSC00306.JPG,0.05666666666666664,0.3787878787878788,0.5176470588235295,132,99,82,"[[1623 1449]
 [1715 1417]
 [1270 1054]]","[[29675 24071]
 [36829 29163]
 [27050 23794]]","[[16.31649189 16.59391898]
 [ 7.89983191  8.29778784]
 [ 8.54248963 11.2495548 ]]","[[176 178]
 [142 136]
 [110 108]]","[[13.26649916 13.34166406]
 [11.91637529 11.66190379]
 [10.48808848 10.39230485]]","[[0.9999996  0.99999968]
 [0.99999911 0.9999993 ]
 [0.99999876 0.99999879]]"
3997,1031,Yes,DSC00306.JPG,0.0555555555555556,0.3021582733812949,0.5450980392156862,139,111,97,"[[1336 1366]
 [1176 1335]
 [1070 1052]]","[[26500 25624]
 [23858 30375]
 [25132 26238]]","[[23.47692774 19.47055859]
 [14.67255743 14.83966945]
 [11.40708651 13.92940327]]","[[216 214]
 [158 178]
 [108 114]]","[[14.69693846 14.62873884]
 [12.56980509 13.34166406]
 [10.39230485 10.67707825]]","[[0.99999972 0.99999973]
 [0.99999957 0.99999942]
 [0.99999908 0.99999899]]"
4282,1158,Yes,DSC00306.JPG,0.0612244897959184,0.39199999999999996,0.49019607843137253,125,94,76,"[[2340 1906]
 [2557 1715]
 [1866 1486]]","[[61406 47366]
 [82389 37127]
 [55224 34778]]","[[ 9.85567959 12.89493117]
 [ 6.96150624  6.81506661]
 [ 5.70730062  7.337994  ]]","[[166 170]
 [128 132]
 [104  98]]","[[12.88409873 13.03840481]
 [11.3137085  11.48912529]
 [10.19803903  9.89949494]]","[[0.99999907 0.99999925]
 [0.99999773 0.99999894]
 [0.99999658 0.99999785]]"
4430,1285,Yes,DSC00306.JPG,0.064327485380117,0.4418604651162791,0.5058823529411764,129,94,72,"[[ 955 1063]
 [ 931  851]
 [ 654  578]]","[[12227 13229]
 [14367 10129]
 [ 8070  6504]]","[[30.41372102 19.29079244]
 [17.2149562  16.9015753 ]
 [14.58012196 17.33431075]]","[[252 232]
 [172 168]
 [118 130]]","[[15.87450787 15.23154621]
 [13.11487705 12.9614814 ]
 [10.86278049 11.40175425]]","[[0.99999982 0.99999981]
 [0.99999962 0.99999973]
 [0.99999955 0.99999962]]"
4599,1412,Yes,DSC00306.JPG,0.06666666666666667,0.4838709677419355,0.48627450980392156,124,88,64,"[[1477 1210]
 [1366 1323]
 [1040 1274]]","[[20303 14058]
 [22042 20245]
 [16698 25120]]","[[10.10634298 16.4535567 ]
 [10.54361044  7.9942424 ]
 [ 9.47999687  5.23899037]]","[[182 194]
 [142 138]
 [102 108]]","[[13.49073756 13.92838828]
 [11.91637529 11.74734012]
 [10.09950494 10.39230485]]","[[0.9999997  0.99999982]
 [0.99999943 0.99999962]
 [0.99999915 0.99999923]]"
4800,1538,Yes,DSC00306.JPG,0.0582010582010582,0.43150684931506844,0.5725490196078431,146,105,83,"[[1595 2094]
 [1525 2163]
 [1210 1748]]","[[28797 47922]
 [33449 65201]
 [26244 54816]]","[[18.19067459 11.94290258]
 [12.97619437 12.86339906]
 [10.29804604  6.99101847]]","[[170 182]
 [142 136]
 [104 100]]","[[13.03840481 13.49073756]
 [11.91637529 11.66190379]
 [10.19803903 10.        ]]","[[0.99999961 0.99999939]
 [0.99999917 0.99999853]
 [0.99999857 0.99999752]]"
